"""acquired_id""","""dahlia_id""","""season_id""","""type""","""name""","""price"""
1,770,2023,Friend,Anna,16
3,327,2009,Company,SID,17
4,961,2023,Company,SID,11
5,414,2004,Company,SID,13
6,482,2018,Company,SID,19
7,1033,2023,Company,SID,10
8,557,2021,Company,SID,8
9,853,2021,Company,SID,11
10,398,2010,Company,SID,9
11,769,2023,Company,SID,17
12,865,2001,Company,SID,8
14,368,2008,Company,SID,5
15,800,2011,Company,SID,18
16,980,2014,Company,SID,12
17,346,2002,Company,SID,5
18,591,2002,Company,SID,16
19,360,2021,Company,SID,13
20,934,2002,Company,SID,11
21,243,2016,Company,SID,14
22,798,2023,Company,SID,14
23,286,2006,Company,SID,6
24,615,2002,Company,SID,15
25,133,2009,Company,SID,11
26,389,2014,Company,SID,10
27,484,2008,Company,SID,14
28,1043,2013,Company,SID,14
29,972,2021,Company,SID,11
30,1017,2018,Company,SID,15
31,381,2005,Company,SID,17
33,927,2013,Company,SID,11
34,325,2021,Company,SID,18
35,116,2008,Company,SID,6
36,227,2021,Company,SID,10
37,711,2014,Company,SID,19
38,710,2016,Company,SID,17
39,464,2004,Company,SID,18
40,599,2021,Company,SID,16
41,602,2001,Company,SID,16
42,619,2001,Company,SID,5
43,947,2009,Company,SID,18
44,619,2017,Company,SID,19
45,651,2012,Company,SID,7
46,393,2000,Company,SID,18
47,100,2023,Company,SID,13
48,775,2000,Company,SID,10
49,778,2016,Company,SID,18
50,579,2006,Company,SID,12
51,192,2021,Company,SID,10
52,753,2004,Company,SID,16
53,748,2017,Company,SID,5
54,217,2021,Company,SID,13
55,861,2009,Company,SID,12
56,122,2015,Company,SID,14
57,886,2006,Company,SID,5
58,787,2021,Company,SID,13
60,85,2020,Company,SID,19
61,502,2005,Company,SID,8
62,289,2013,Company,SID,8
63,680,2008,Friend,Anna,11
64,631,2022,Company,SID,14
65,643,2005,Company,SID,6
66,1042,2014,Company,SID,16
67,302,2014,Company,SID,16
68,1020,2001,Company,SID,5
69,696,2002,Company,SID,17
70,552,2023,Company,SID,11
71,68,2005,Company,SID,13
72,168,2008,Company,SID,11
73,485,2020,Company,SID,6
74,846,2018,Company,SID,17
75,695,2000,Company,SID,17
76,252,2001,Company,SID,11
77,771,2019,Company,SID,8
78,564,2000,Company,SID,5
79,669,2009,Company,SID,17
80,139,2018,Company,SID,14
81,827,2019,Company,SID,11
82,723,2016,Company,SID,13
83,733,2007,Company,SID,8
84,589,2006,Company,SID,14
85,81,2002,Company,SID,11
86,619,2006,Company,SID,8
87,546,2008,Company,SID,18
88,1028,2017,Company,SID,7
89,340,2020,Company,SID,13
90,1055,2018,Company,SID,16
91,1042,2007,Company,SID,9
92,141,2000,Company,SID,5
93,365,2012,Company,SID,5
94,251,2012,Company,SID,17
95,807,2005,Company,SID,10
96,811,2007,Company,SID,16
97,748,2013,Company,SID,15
98,540,2023,Company,SID,18
99,324,2021,Friend,Anna,14
